partition_kind,q,depth,exponent,layer_dependent,cell_index,bits,x_lo,x_hi,x_mid,plog_mid,c_shared,c_free,displacement,shared_err,free_err,wall_excess,best_donor_index,best_donor_excess,value_add
uniform_x,3,6,1/2,False,2,"(0, 0, 0, 0, 1, 0)",1.03125,1.046875,1.0390625,0.0390625,-0.06591796875,-0.01839160919189453,-0.04752635955810547,0.03785648786208658,0.0025518068925330394,0.03530468096955354,3,0.004980906035128111,-0.03032377493442543
uniform_x,3,6,1/2,False,3,"(0, 0, 0, 0, 1, 1)",1.046875,1.0625,1.0546875,0.0546875,-0.072509765625,-0.025167465209960938,-0.04734230041503906,0.03788196889430041,0.002449794062007023,0.035432174832293384,4,0.004780247725945201,-0.030651927106348183
uniform_x,3,6,1/2,False,4,"(0, 0, 0, 1, 0, 0)",1.0625,1.078125,1.0703125,0.0703125,-0.066650390625,-0.031622886657714844,-0.035027503967285156,0.02867577997526672,0.0023506512466494414,0.026325128728617277,5,0.00458490908007385,-0.021740219648543425
uniform_x,3,6,1/2,False,5,"(0, 0, 0, 1, 0, 1)",1.078125,1.09375,1.0859375,0.0859375,-0.068603515625,-0.03777027130126953,-0.03083324432373047,0.025571034372044135,0.002253554162077883,0.02331748020996625,6,0.004393603457865215,-0.018923876752101037
uniform_x,3,6,1/2,False,6,"(0, 0, 0, 1, 1, 0)",1.09375,1.109375,1.1015625,0.1015625,-0.072509765625,-0.043618202209472656,-0.028891563415527344,0.024153781550340953,0.0021589076813898402,0.02199487386895111,7,0.00420708101004405,-0.01778779285890706
uniform_x,3,6,1/2,False,7,"(0, 0, 0, 1, 1, 1)",1.109375,1.125,1.1171875,0.1171875,-0.084228515625,-0.0491790771484375,-0.0350494384765625,0.028983279473147987,0.002066474351523288,0.0269168051216247,8,0.00402499497821553,-0.02289181014340917
uniform_x,3,6,1/2,False,8,"(0, 0, 1, 0, 0, 0)",1.125,1.140625,1.1328125,0.1328125,-0.07373046875,-0.054462432861328125,-0.019268035888671875,0.016814028063285656,0.001976039719663297,0.01483798834362236,9,0.0038473471251019293,-0.01099064121852043
uniform_x,3,6,1/2,False,9,"(0, 0, 1, 0, 0, 1)",1.140625,1.15625,1.1484375,0.1484375,-0.080322265625,-0.059477806091308594,-0.020844459533691406,0.01805754731231577,0.0018876817831548365,0.016169865529160936,10,0.0036734698957219735,-0.012496395633438961
uniform_x,3,6,1/2,False,10,"(0, 0, 1, 0, 1, 0)",1.15625,1.171875,1.1640625,0.1640625,-0.0693359375,-0.06423377990722656,-0.0051021575927734375,0.005769353774049441,0.0018014268614180938,0.003967926912631347,11,0.003503078217648113,-0.0004648486949832345
uniform_x,3,6,1/2,False,11,"(0, 0, 1, 0, 1, 1)",1.171875,1.1875,1.1796875,0.1796875,-0.0712890625,-0.06873893737792969,-0.0025501251220703125,0.0037119471516141897,0.001716851332033845,0.0019950958195803447,12,0.0033366583626962595,0.0013415625431159148
uniform_x,3,6,1/2,False,12,"(0, 0, 1, 1, 0, 0)",1.1875,1.203125,1.1953125,0.1953125,-0.072509765625,-0.07300186157226562,0.000492095947265625,0.002022938560107556,0.001634168884096363,0.00038876967601119295,13,0.0031736196196029687,0.0027848499435917757
uniform_x,3,6,1/2,False,13,"(0, 0, 1, 1, 0, 1)",1.203125,1.21875,1.2109375,0.2109375,-0.084228515625,-0.07703018188476562,-0.007198333740234375,0.007266075685030086,0.0015532834951260692,0.0057127921899040165,14,0.0030139657867710445,-0.002698826403132972
uniform_x,3,6,1/2,False,14,"(0, 0, 1, 1, 1, 0)",1.21875,1.234375,1.2265625,0.2265625,-0.09130859375,-0.08083152770996094,-0.010477066040039062,0.009849986586443793,0.001474151428830618,0.008375835157613174,15,0.002857925442629913,-0.0055179097149832615
uniform_x,3,6,1/2,False,15,"(0, 0, 1, 1, 1, 1)",1.234375,1.25,1.2421875,0.2421875,-0.097900390625,-0.08441352844238281,-0.013486862182617188,0.012256589466951691,0.0013965102673015514,0.01086007919965014,63,0.002005052894927679,-0.008855026304722461
uniform_x,3,6,1/2,False,16,"(0, 1, 0, 0, 0, 0)",1.25,1.265625,1.2578125,0.2578125,-0.074462890625,-0.08778190612792969,0.013319015502929688,0.012078886077184065,0.0013203943262307869,0.010758491750953279,63,0.0007057716643937807,-0.010052720086559499
uniform_x,3,6,1/2,False,17,"(0, 1, 0, 0, 0, 1)",1.265625,1.28125,1.2734375,0.2734375,-0.076416015625,-0.09094429016113281,0.014528274536132812,0.013049517543740638,0.0012458641638148423,0.011803653379925795,61,0.0002812037737919739,-0.01152244960613382
uniform_x,3,6,1/2,False,18,"(0, 1, 0, 0, 1, 0)",1.28125,1.296875,1.2890625,0.2890625,-0.080322265625,-0.09390640258789062,0.013584136962890625,0.012279614627569168,0.0011728377436772339,0.011106776883891934,60,0.0004332945966283462,-0.010673482287263588
uniform_x,3,6,1/2,False,19,"(0, 1, 0, 0, 1, 1)",1.296875,1.3125,1.3046875,0.3046875,-0.092041015625,-0.09667396545410156,0.0046329498291015625,0.004921827839792641,0.0011011085823794868,0.0038207192574131544,58,0.0005510468934739256,-0.003269672363939229
