source_run,partition_kind,exponent,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,worst_cell_x_mid,worst_cell_plog_mid,n_cells,n_params,param_to_cell_ratio,gap_over_free,gap_over_opt,time
wall_surface_2026-03-18,geometric_x,1/2,2,6,False,0.04801885319811061,0.04043235777067417,0.0019372364815933578,0.007586495427436439,0.038495121289080815,32,"(1, 0, 0, 0, 0, 0)",1.4142135623730951,1.42961333839197,1.42191345038253,0.5078336530698513,64,5,0.078125,19.871152363091447,0.9520869771537676,26.046788215637207
wall_surface_2026-03-18,harmonic_x,1/2,2,6,False,0.04801885319811061,0.03945824587873058,0.002225137210319355,0.008560607319380034,0.03723310866841122,5,"(0, 0, 0, 1, 0, 1)",1.0406504065040652,1.0491803278688525,1.04491536718646,0.06338609610044453,64,5,0.078125,16.732949543847443,0.9436078021015429,25.834148645401
wall_surface_2026-03-18,mirror_harmonic_x,1/2,2,6,False,0.04801885319811061,0.03729393143298228,0.005339397922687269,0.010724921765128334,0.03195453351029501,32,"(1, 0, 0, 0, 0, 0)",1.6666666666666667,1.6804123711340206,1.67353951890034,0.7429026191740583,64,5,0.078125,5.984669802285984,0.8568293092863583,25.561942100524902
wall_surface_2026-03-18,uniform_x,1/2,2,6,True,0.04801885319811061,0.019077204754298742,0.0027633102183522973,0.02894164844381187,0.016313894535946446,48,"(1, 1, 0, 0, 0, 0)",1.75,1.765625,1.75781250000000,0.8137811912170371,64,25,0.390625,5.903750663823069,0.8551511998774544,25.00296401977539
wall_surface_2026-03-18,geometric_x,1/2,2,6,True,0.04801885319811061,0.016097107583690512,0.0019372364815933578,0.0319217456144201,0.014159871102097155,56,"(1, 1, 1, 0, 0, 0)",1.8340080864093424,1.8539791250833855,1.84399360574636,0.8828336530698512,64,25,0.390625,7.309314705064196,0.8796531319976917,24.37051796913147
wall_surface_2026-03-18,harmonic_x,1/2,2,6,True,0.04801885319811061,0.016940022128331365,0.002225137210319355,0.031078831069779246,0.014714884918012011,63,"(1, 1, 1, 1, 1, 1)",1.9692307692307693,2.0,1.98461538461538,0.9888594423947996,64,25,0.390625,6.613023614799965,0.868646145001315,24.67026686668396
wall_surface_2026-03-18,mirror_harmonic_x,1/2,2,6,True,0.04801885319811061,0.027063162877977054,0.005339397922687269,0.020955690320133558,0.021723764955289784,47,"(1, 0, 1, 1, 1, 1)",1.8468468468468469,1.8571428571428572,1.85199485199485,0.8890800883325878,64,25,0.390625,4.068579504626323,0.8027060640782581,24.942230939865112
wall_surface_2026-03-18,uniform_x,1/2,2,7,False,0.04801885319811061,0.04435009247162612,0.0013952675075605118,0.0036687607264844907,0.04295482496406561,0,"(0, 0, 0, 0, 0, 0, 0)",1.0,1.0078125,1.00390625000000,0.005624549193878107,128,5,0.0390625,30.78608562967821,0.9685396933850101,52.57339692115784
wall_surface_2026-03-18,geometric_x,1/2,2,7,False,0.04801885319811061,0.04241333162486698,0.0009728009170741604,0.005605521573243628,0.04144053070779282,64,"(1, 0, 0, 0, 0, 0, 0)",1.4142135623730951,1.4218926021691656,1.41805308227113,0.5039115382868472,128,5,0.0390625,42.59918959824916,0.9770637938637244,53.09489583969116
wall_surface_2026-03-18,harmonic_x,1/2,2,7,False,0.04801885319811061,0.04369284819736065,0.0011399378286217766,0.004326005000749963,0.04255291036873887,96,"(1, 1, 0, 0, 0, 0, 0)",1.6,1.610062893081761,1.60503144654088,0.6826015635931517,128,5,0.0390625,37.329150152150646,0.9739101963902038,52.1989381313324
wall_surface_2026-03-18,mirror_harmonic_x,1/2,2,7,False,0.04801885319811061,0.04235378478158993,0.0027425439601261184,0.005665068416520681,0.03961124082146381,0,"(0, 0, 0, 0, 0, 0, 0)",1.0,1.0155038759689923,1.00775193798450,0.011140557605200408,128,5,0.0390625,14.443247363532599,0.9352467796144105,52.27567672729492
wall_surface_2026-03-18,uniform_x,1/2,2,7,True,0.04801885319811061,0.018967012259652465,0.0013952675075605118,0.029051840938458147,0.01757174475209195,91,"(1, 0, 1, 1, 0, 1, 1)",1.7109375,1.71875,1.71484375000000,0.7780771295353582,128,29,0.2265625,12.593817785389714,0.9264371484311953,49.875012159347534
